camera,c_number,colony,antColour,antID,spatialEntropies
42,C1,qi_cam42_exp3_a1_8wp,BB,42_C1_qi_cam42_exp3_a1_8wp_BB,6.693815367
42,C1,qi_cam42_exp3_a1_8wp,BO,42_C1_qi_cam42_exp3_a1_8wp_BO,3.510001309
42,C1,qi_cam42_exp3_a1_8wp,GB,42_C1_qi_cam42_exp3_a1_8wp_GB,6.333290227
42,C1,qi_cam42_exp3_a1_8wp,GO,42_C1_qi_cam42_exp3_a1_8wp_GO,7.719726828
42,C1,qi_cam42_exp3_a1_8wp,OO,42_C1_qi_cam42_exp3_a1_8wp_OO,6.032268076
42,C1,qi_cam42_exp3_a1_8wp,PB,42_C1_qi_cam42_exp3_a1_8wp_PB,7.479985466
42,C1,qi_cam42_exp3_a1_8wp,PG,42_C1_qi_cam42_exp3_a1_8wp_PG,2.086831442
42,C1,qi_cam42_exp3_a1_8wp,PP,42_C1_qi_cam42_exp3_a1_8wp_PP,5.848002906
42,C3,qi_cam42_exp3_a1_8wl,BB,42_C3_qi_cam42_exp3_a1_8wl_BB,4.890039906
42,C3,qi_cam42_exp3_a1_8wl,BO,42_C3_qi_cam42_exp3_a1_8wl_BO,5.511097621
42,C3,qi_cam42_exp3_a1_8wl,GB,42_C3_qi_cam42_exp3_a1_8wl_GB,3.053532193
42,C3,qi_cam42_exp3_a1_8wl,GO,42_C3_qi_cam42_exp3_a1_8wl_GO,8.560466148
42,C3,qi_cam42_exp3_a1_8wl,OO,42_C3_qi_cam42_exp3_a1_8wl_OO,3.666058636
42,C3,qi_cam42_exp3_a1_8wl,PB,42_C3_qi_cam42_exp3_a1_8wl_PB,3.140359215
42,C3,qi_cam42_exp3_a1_8wl,PG,42_C3_qi_cam42_exp3_a1_8wl_PG,8.571093956
42,C3,qi_cam42_exp3_a1_8wl,PP,42_C3_qi_cam42_exp3_a1_8wl_PP,8.292256702
42,C5,qi_cam42_exp3_a1_8n,BB,42_C5_qi_cam42_exp3_a1_8n_BB,2.475997781
42,C5,qi_cam42_exp3_a1_8n,BO,42_C5_qi_cam42_exp3_a1_8n_BO,5.929837467
42,C5,qi_cam42_exp3_a1_8n,GB,42_C5_qi_cam42_exp3_a1_8n_GB,7.758504653
42,C5,qi_cam42_exp3_a1_8n,GO,42_C5_qi_cam42_exp3_a1_8n_GO,1.068752554
42,C5,qi_cam42_exp3_a1_8n,OO,42_C5_qi_cam42_exp3_a1_8n_OO,3.269767673
42,C5,qi_cam42_exp3_a1_8n,PB,42_C5_qi_cam42_exp3_a1_8n_PB,2.214638719
42,C5,qi_cam42_exp3_a1_8n,PG,42_C5_qi_cam42_exp3_a1_8n_PG,5.348535614
42,C5,qi_cam42_exp3_a1_8n,PP,42_C5_qi_cam42_exp3_a1_8n_PP,7.263321709
47,C2,qi_cam47_exp3_a1_8n,BB,47_C2_qi_cam47_exp3_a1_8n_BB,3.304843121
47,C2,qi_cam47_exp3_a1_8n,BO,47_C2_qi_cam47_exp3_a1_8n_BO,3.327710151
47,C2,qi_cam47_exp3_a1_8n,GB,47_C2_qi_cam47_exp3_a1_8n_GB,2.247625377
47,C2,qi_cam47_exp3_a1_8n,GO,47_C2_qi_cam47_exp3_a1_8n_GO,2.130551127
47,C2,qi_cam47_exp3_a1_8n,OO,47_C2_qi_cam47_exp3_a1_8n_OO,3.697759528
47,C2,qi_cam47_exp3_a1_8n,PB,47_C2_qi_cam47_exp3_a1_8n_PB,1.873521928
47,C2,qi_cam47_exp3_a1_8n,PG,47_C2_qi_cam47_exp3_a1_8n_PG,7.318052121
47,C2,qi_cam47_exp3_a1_8n,PP,47_C2_qi_cam47_exp3_a1_8n_PP,2.280178819
47,C4,qi_cam47_exp3_a1_8wp,BB,47_C4_qi_cam47_exp3_a1_8wp_BB,6.980007892
47,C4,qi_cam47_exp3_a1_8wp,BO,47_C4_qi_cam47_exp3_a1_8wp_BO,2.951898147
47,C4,qi_cam47_exp3_a1_8wp,GB,47_C4_qi_cam47_exp3_a1_8wp_GB,5.479774989
47,C4,qi_cam47_exp3_a1_8wp,GO,47_C4_qi_cam47_exp3_a1_8wp_GO,6.561474418
47,C4,qi_cam47_exp3_a1_8wp,OO,47_C4_qi_cam47_exp3_a1_8wp_OO,4.854049297
47,C4,qi_cam47_exp3_a1_8wp,PB,47_C4_qi_cam47_exp3_a1_8wp_PB,4.089416545
47,C4,qi_cam47_exp3_a1_8wp,PG,47_C4_qi_cam47_exp3_a1_8wp_PG,7.381042052
47,C4,qi_cam47_exp3_a1_8wp,PP,47_C4_qi_cam47_exp3_a1_8wp_PP,4.613944283
47,C6,qi_cam47_exp3_a1_8wl,BB,47_C6_qi_cam47_exp3_a1_8wl_BB,7.521062524
47,C6,qi_cam47_exp3_a1_8wl,BO,47_C6_qi_cam47_exp3_a1_8wl_BO,4.570406159
47,C6,qi_cam47_exp3_a1_8wl,GB,47_C6_qi_cam47_exp3_a1_8wl_GB,7.651141651
47,C6,qi_cam47_exp3_a1_8wl,GO,47_C6_qi_cam47_exp3_a1_8wl_GO,4.079655729
47,C6,qi_cam47_exp3_a1_8wl,OO,47_C6_qi_cam47_exp3_a1_8wl_OO,0.056487443
47,C6,qi_cam47_exp3_a1_8wl,PB,47_C6_qi_cam47_exp3_a1_8wl_PB,6.711171377
47,C6,qi_cam47_exp3_a1_8wl,PG,47_C6_qi_cam47_exp3_a1_8wl_PG,3.721084501
47,C6,qi_cam47_exp3_a1_8wl,PP,47_C6_qi_cam47_exp3_a1_8wl_PP,6.552691247
54,C1,qi_cam54_exp3_a1_8n,BB,54_C1_qi_cam54_exp3_a1_8n_BB,3.520271611
54,C1,qi_cam54_exp3_a1_8n,BO,54_C1_qi_cam54_exp3_a1_8n_BO,2.115342696
54,C1,qi_cam54_exp3_a1_8n,GB,54_C1_qi_cam54_exp3_a1_8n_GB,2.715179084
54,C1,qi_cam54_exp3_a1_8n,GO,54_C1_qi_cam54_exp3_a1_8n_GO,1.096493793
54,C1,qi_cam54_exp3_a1_8n,OO,54_C1_qi_cam54_exp3_a1_8n_OO,2.116501029
54,C1,qi_cam54_exp3_a1_8n,PB,54_C1_qi_cam54_exp3_a1_8n_PB,4.990310864
54,C1,qi_cam54_exp3_a1_8n,PG,54_C1_qi_cam54_exp3_a1_8n_PG,0.367809776
54,C1,qi_cam54_exp3_a1_8n,PP,54_C1_qi_cam54_exp3_a1_8n_PP,4.254988767
54,C3,qi_cam54_exp3_a1_8wp,BB,54_C3_qi_cam54_exp3_a1_8wp_BB,4.957147749
54,C3,qi_cam54_exp3_a1_8wp,BO,54_C3_qi_cam54_exp3_a1_8wp_BO,0.073825605
54,C3,qi_cam54_exp3_a1_8wp,GB,54_C3_qi_cam54_exp3_a1_8wp_GB,0.259518321
54,C3,qi_cam54_exp3_a1_8wp,GO,54_C3_qi_cam54_exp3_a1_8wp_GO,1.696551372
54,C3,qi_cam54_exp3_a1_8wp,OO,54_C3_qi_cam54_exp3_a1_8wp_OO,1.805763127
54,C3,qi_cam54_exp3_a1_8wp,PB,54_C3_qi_cam54_exp3_a1_8wp_PB,0.983523285
54,C3,qi_cam54_exp3_a1_8wp,PG,54_C3_qi_cam54_exp3_a1_8wp_PG,0.822233662
54,C3,qi_cam54_exp3_a1_8wp,PP,54_C3_qi_cam54_exp3_a1_8wp_PP,8.127804095
54,C5,qi_cam54_exp3_a1_8wl,BB,54_C5_qi_cam54_exp3_a1_8wl_BB,8.37429237
54,C5,qi_cam54_exp3_a1_8wl,BO,54_C5_qi_cam54_exp3_a1_8wl_BO,4.893842943
54,C5,qi_cam54_exp3_a1_8wl,GB,54_C5_qi_cam54_exp3_a1_8wl_GB,7.041641643
