Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam54_exp3_a3_4wl,2023-09-14 20:58:08,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,4,wl,No focal subject,intruder,,,POINT,22.161,22.161,NA,,
qi_cam54_exp3_a3_8wl,2023-09-14 20:59:18,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,8,wl,No focal subject,intruder,,,POINT,31.154,31.154,NA,,
qi_cam54_exp3_a3_4wl,2023-09-14 20:58:08,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,4,wl,bb,meet,,,POINT,35.373,35.373,NA,,
qi_cam54_exp3_a3_8wl,2023-09-14 20:59:18,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,8,wl,pp,meet,,,POINT,35.654,35.654,NA,,
qi_cam54_exp3_a3_4wp,2023-09-14 20:58:34,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,4,wp,No focal subject,intruder,,,POINT,39.154,39.154,NA,,
qi_cam54_exp3_a3_8wl,2023-09-14 20:59:18,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,8,wl,pg,meet,,,POINT,39.401,39.401,NA,,
qi_cam54_exp3_a3_4wl,2023-09-14 20:58:08,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,4,wl,bb,sting,,,STATE,41.373,44.376,3.003,,
qi_cam54_exp3_a3_4wl,2023-09-14 20:58:08,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,4,wl,pb,meet,,,POINT,44.876,44.876,NA,,
qi_cam54_exp3_a3_4wp,2023-09-14 20:58:34,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,4,wp,pp,meet,,,POINT,47.661,47.661,NA,,
qi_cam54_exp3_a3_8wp,2023-09-14 20:59:40,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after3t202301071642_20230107_164152.mp4,1495.160,25.0,8,wp,No focal subject,intruder,,,POINT,47.913,47.913,NA,,
