Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam42_exp3_a2_4n,2023-09-06 10:04:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,4,n,No focal subject,intruder,,,POINT,21.653,21.653,NA,,
qi_cam42_exp3_a2_4n,2023-09-06 10:04:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,4,n,pg,meet,,,POINT,28.655,28.655,NA,,
qi_cam42_exp3_a2_8n,2023-09-06 10:05:33,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,8,n,No focal subject,intruder,,,POINT,30.154,30.154,NA,,
qi_cam42_exp3_a2_8n,2023-09-06 10:05:33,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,8,n,bo,meet,,,POINT,36.534,36.534,NA,,
qi_cam42_exp3_a2_4wl,2023-09-06 10:05:01,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,4,wl,No focal subject,intruder,,,POINT,37.154,37.154,NA,,
qi_cam42_exp3_a2_4n,2023-09-06 10:04:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,4,n,pb,meet,,,POINT,37.658,37.658,NA,,
qi_cam42_exp3_a2_8n,2023-09-06 10:05:33,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,8,n,oo,meet,,,POINT,39.026,39.026,NA,,
qi_cam42_exp3_a2_8n,2023-09-06 10:05:33,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,8,n,pp,meet,,,POINT,40.404,40.404,NA,,
qi_cam42_exp3_a2_8n,2023-09-06 10:05:33,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,8,n,oo,sting,,,STATE,41.279,48.029,6.750,,
qi_cam42_exp3_a2_4n,2023-09-06 10:04:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,4,n,pp,meet,,,POINT,41.402,41.402,NA,,
qi_cam42_exp3_a2_4wl,2023-09-06 10:05:01,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,4,wl,pp,meet,,,POINT,42.402,42.402,NA,,
qi_cam42_exp3_a2_8n,2023-09-06 10:05:33,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after2t202301071514_20230107_151328.mp4,1455.000,25.0,8,n,pb,meet,,,POINT,42.787,42.787,NA,,
