Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,No focal subject,intruder,,,POINT,30.658,30.658,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,gb,meet,,,POINT,54.153,54.153,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,oo,meet,,,POINT,60.404,60.404,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,bo,meet,,,POINT,61.15,61.15,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,gb,meet,,,POINT,70.901,70.901,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,gb,sting,,,STATE,74.153,78.405,4.252,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,go,meet,,,POINT,80.405,80.405,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,oo,meet,,,POINT,89.401,89.401,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,bo,meet,,,POINT,95.902,95.902,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,bo,sting,,,STATE,101.15,110.9,9.75,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,oo,meet,,,POINT,109.404,109.404,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,oo,sting,,,STATE,111.401,233.401,122,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,bo,meet,,,POINT,114.655,114.655,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,bo,meet,,,POINT,122.15,122.15,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,bo,sting,,,STATE,122.905,171.402,48.497,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,gb,meet,,,POINT,136.903,136.903,NA,,
qi_cam34_exp3_a1_4n,2023/1/30 11:35,,D:/desktop/Qi_DenfenseBeh/cam34/qicam34exp3after1t202301071338_20230107_133832.mp4,1414.64,25,4,n,go,meet,,,POINT,145.405,145.405,NA,,
