Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam61_exp3_a2_4wp,2023-09-24 17:08:27,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,4,wp,No focal subject,intruder,,,POINT,17.908,17.908,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,No focal subject,intruder,,,POINT,29.411,29.411,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,go,meet,,,POINT,29.411,29.411,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,pp,meet,,,POINT,37.409,37.409,NA,,
qi_cam61_exp3_a2_8n,2023-09-24 17:09:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,n,No focal subject,intruder,,,POINT,40.906,40.906,NA,,
qi_cam61_exp3_a2_8n,2023-09-24 17:09:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,n,pb,meet,,,POINT,40.906,40.906,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,pp,sting,,,STATE,44.654,56.654,12.000,,
qi_cam61_exp3_a2_8n,2023-09-24 17:09:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,n,gb,meet,,,POINT,46.154,46.154,NA,,
qi_cam61_exp3_a2_4n,2023-09-24 17:07:06,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,4,n,No focal subject,intruder,,,POINT,46.903,46.903,NA,,
qi_cam61_exp3_a2_8n,2023-09-24 17:09:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,n,go,meet,,,POINT,46.911,46.911,NA,,
qi_cam61_exp3_a2_8n,2023-09-24 17:09:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,n,go,sting,,,STATE,50.404,54.156,3.752,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,go,sting,,,STATE,51.253,53.758,2.505,,
qi_cam61_exp3_a2_4n,2023-09-24 17:07:06,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,4,n,gb,meet,,,POINT,51.401,51.401,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,gb,meet,,,POINT,53.008,53.008,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,gb,sting,,,STATE,53.008,59.997,6.989,,
qi_cam61_exp3_a2_4wp,2023-09-24 17:08:27,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,4,wp,bo,meet,,,POINT,53.352,53.352,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,bb,meet,,,POINT,53.755,53.755,NA,,
qi_cam61_exp3_a2_8wl,2023-09-24 17:09:51,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wl,No focal subject,intruder,,,POINT,54.658,54.658,NA,,
qi_cam61_exp3_a2_4wp,2023-09-24 17:08:27,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,4,wp,bo,sting,,,STATE,54.843,87.096,32.253,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,bb,sting,,,STATE,56.003,71.003,15.000,,
qi_cam61_exp3_a2_8wl,2023-09-24 17:09:51,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wl,pb,meet,,,POINT,57.015,57.015,NA,,
qi_cam61_exp3_a2_8wp,2023-09-24 17:10:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after2t202301071510_20230107_150955.mp4,1442.280,25.0,8,wp,pg,meet,,,POINT,59.750,59.750,NA,,
