Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,No focal subject,intruder,,,POINT,18.408,18.408,NA,,
qi_cam61_exp3_a3_4wp,2023-09-24 17:12:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,4,wp,No focal subject,intruder,,,POINT,25.404,25.404,NA,,
qi_cam61_exp3_a3_8n,2023-09-24 17:13:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,n,No focal subject,intruder,,,POINT,33.159,33.159,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,pp,meet,,,POINT,34.159,34.159,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,pp,sting,,,STATE,34.901,41.652,6.751,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,pg,meet,,,POINT,35.910,35.910,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,bb,meet,,,POINT,36.318,36.318,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,bb,sting,,,STATE,37.308,53.311,16.003,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,oo,meet,,,POINT,39.577,39.577,NA,,
qi_cam61_exp3_a3_4n,2023-09-24 17:11:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,4,n,No focal subject,intruder,,,POINT,39.913,39.913,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,bo,meet,,,POINT,42.379,42.379,NA,,
qi_cam61_exp3_a3_8n,2023-09-24 17:13:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,n,pb,meet,,,POINT,42.459,42.459,NA,,
qi_cam61_exp3_a3_4n,2023-09-24 17:11:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,4,n,bo,meet,,,POINT,46.923,46.923,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,pg,meet,,,POINT,48.152,48.152,NA,,
qi_cam61_exp3_a3_8wl,2023-09-24 17:12:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wl,No focal subject,intruder,,,POINT,48.909,48.909,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,oo,sting,,,STATE,49.828,55.835,6.007,,
qi_cam61_exp3_a3_8wl,2023-09-24 17:12:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wl,pb,meet,,,POINT,51.313,51.313,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,pp,meet,,,POINT,51.401,51.401,NA,,
qi_cam61_exp3_a3_8n,2023-09-24 17:13:31,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,n,oo,meet,,,POINT,52.462,52.462,NA,,
qi_cam61_exp3_a3_8wp,2023-09-24 17:12:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,8,wp,pp,sting,,,STATE,52.910,55.159,2.249,,
qi_cam61_exp3_a3_4wl,2023-09-24 17:11:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam61exp3after3t202301071640_20230107_164022.mp4,1481.760,25.0,4,wl,No focal subject,intruder,,,POINT,54.156,54.156,NA,,
