Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,No focal subject,intruder,,,POINT,21.160,21.160,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pg,meet,,,POINT,21.160,21.160,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pb,meet,,,POINT,30.157,30.157,NA,,
qi_cam54_exp3_a2_8wl,2023-09-13 10:55:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,8,wl,No focal subject,intruder,,,POINT,31.405,31.405,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pp,meet,,,POINT,33.910,33.910,NA,,
qi_cam54_exp3_a2_8wl,2023-09-13 10:55:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,8,wl,go,meet,,,POINT,36.901,36.901,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,bb,meet,,,POINT,36.903,36.903,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,bb,sting,,,STATE,36.903,53.906,17.003,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pg,meet,,,POINT,37.654,37.654,NA,,
qi_cam54_exp3_a2_8wl,2023-09-13 10:55:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,8,wl,pg,meet,,,POINT,40.659,40.659,NA,,
qi_cam54_exp3_a2_4wp,2023-09-13 10:54:46,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wp,No focal subject,intruder,,,POINT,43.159,43.159,NA,,
qi_cam54_exp3_a2_4wp,2023-09-13 10:54:46,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wp,pb,meet,,,POINT,43.159,43.159,NA,,
qi_cam54_exp3_a2_8wl,2023-09-13 10:55:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,8,wl,pg,sting,,,STATE,43.661,84.156,40.495,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pg,meet,,,POINT,44.401,44.401,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pp,meet,,,POINT,47.160,47.160,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pp,sting,,,STATE,47.160,52.410,5.250,,
qi_cam54_exp3_a2_4wp,2023-09-13 10:54:46,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wp,pp,meet,,,POINT,47.161,47.161,NA,,
qi_cam54_exp3_a2_4wl,2023-09-13 10:54:29,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam54exp3after2t202301071512_20230107_151137.mp4,1437.480,25.0,4,wl,pb,meet,,,POINT,48.661,48.661,NA,,
