Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam34_exp3_a3_8n,2023-08-31 13:50:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,n,No focal subject,intruder,,,POINT,26.659,26.659,NA,,
qi_cam34_exp3_a3_4n,2023-08-31 13:49:06,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,4,n,No focal subject,intruder,,,POINT,40.900,40.900,NA,,
qi_cam34_exp3_a3_8n,2023-08-31 13:50:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,n,oo,meet,,,POINT,50.199,50.199,NA,,
qi_cam34_exp3_a3_8n,2023-08-31 13:50:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,n,pb,meet,,,POINT,55.945,55.945,NA,,
qi_cam34_exp3_a3_8wl,2023-08-31 13:50:36,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,wl,No focal subject,intruder,,,POINT,63.158,63.158,NA,,
qi_cam34_exp3_a3_4wl,2023-08-31 13:49:45,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,4,wl,No focal subject,intruder,,,POINT,70.914,70.914,NA,,
qi_cam34_exp3_a3_8wp,2023-08-31 13:51:01,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,wp,No focal subject,intruder,,,POINT,82.167,82.167,NA,,
qi_cam34_exp3_a3_8wp,2023-08-31 13:51:01,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,wp,pg,meet,,,POINT,89.695,89.695,NA,,
qi_cam34_exp3_a3_8n,2023-08-31 13:50:19,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,8,n,pp,meet,,,POINT,90.412,90.412,NA,,
qi_cam34_exp3_a3_4wp,2023-08-31 13:50:03,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,4,wp,No focal subject,intruder,,,POINT,90.656,90.656,NA,,
qi_cam34_exp3_a3_4wp,2023-08-31 13:50:03,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after3t202301071638_20230107_163806.mp4,1464.320,25.0,4,wp,oo,meet,,,POINT,97.413,97.413,NA,,
