Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam42_exp3_a3_4n,2023-09-07 11:03:00,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,n,No focal subject,intruder,,,POINT,18.404,18.404,NA,,
qi_cam42_exp3_a3_4n,2023-09-07 11:03:00,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,n,pp,meet,,,POINT,20.661,20.661,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,No focal subject,intruder,,,POINT,24.151,24.151,NA,,
qi_cam42_exp3_a3_4n,2023-09-07 11:03:00,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,n,pp,meet,,,POINT,27.406,27.406,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,bb,meet,,,POINT,30.869,30.869,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,No focal subject,intruder,,,POINT,33.159,33.159,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,go,meet,,,POINT,36.631,36.631,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,oo,meet,,,POINT,37.113,37.113,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,oo,sting,,,STATE,38.614,40.863,2.249,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,bb,meet,,,POINT,38.620,38.620,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,No focal subject,intruder,,,POINT,40.903,40.903,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,pb,meet,,,POINT,40.903,40.903,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,gb,meet,,,POINT,40.903,40.903,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,oo,meet,,,POINT,40.903,40.903,NA,,
qi_cam42_exp3_a3_4n,2023-09-07 11:03:00,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,n,pg,meet,,,POINT,40.911,40.911,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,go,meet,,,POINT,42.631,42.631,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pb,meet,,,POINT,43.359,43.359,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pb,sting,,,STATE,46.353,52.359,6.006,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pg,meet,,,POINT,47.163,47.163,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,go,meet,,,POINT,48.127,48.127,NA,,
qi_cam42_exp3_a3_4wp,2023-09-07 11:04:10,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wp,No focal subject,intruder,,,POINT,48.155,48.155,NA,,
qi_cam42_exp3_a3_4wp,2023-09-07 11:04:10,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wp,pg,meet,,,POINT,48.155,48.155,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pp,meet,,,POINT,48.665,48.665,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,go,meet,,,POINT,48.901,48.901,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,oo,sting,,,STATE,48.909,88.409,39.500,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,go,sting,,,STATE,50.401,65.154,14.753,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pp,sting,,,STATE,53.914,59.154,5.240,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pg,meet,,,POINT,54.163,54.163,NA,,
qi_cam42_exp3_a3_4n,2023-09-07 11:03:00,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,n,pg,meet,,,POINT,55.898,55.898,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,pb,meet,,,POINT,56.404,56.404,NA,,
qi_cam42_exp3_a3_8wp,2023-09-07 11:05:04,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wp,No focal subject,intruder,,,POINT,57.154,57.154,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,bb,meet,,,POINT,57.612,57.612,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pb,meet,,,POINT,60.356,60.356,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pb,sting,,,STATE,62.349,71.346,8.997,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,pg,meet,,,POINT,63.152,63.152,NA,,
qi_cam42_exp3_a3_4wl,2023-09-07 11:03:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wl,pg,meet,,,POINT,65.167,65.167,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,gb,meet,,,POINT,65.617,65.617,NA,,
qi_cam42_exp3_a3_8wl,2023-09-07 11:04:44,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,wl,pb,meet,,,POINT,68.154,68.154,NA,,
qi_cam42_exp3_a3_4wp,2023-09-07 11:04:10,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,wp,pb,meet,,,POINT,70.465,70.465,NA,,
qi_cam42_exp3_a3_8n,2023-09-07 11:04:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,8,n,bb,meet,,,POINT,77.863,77.863,NA,,
qi_cam42_exp3_a3_4n,2023-09-07 11:03:00,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam42exp3after3t202301071644_20230107_164336.mp4,1495.800,25.0,4,n,bb,meet,,,POINT,81.370,81.370,NA,,
