Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,No focal subject,intruder,,,POINT,18.905,18.905,NA,,
qi_cam47_exp3_a2_4wl,2023-09-08 11:26:09,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,4,wl,No focal subject,intruder,,,POINT,27.903,27.903,NA,,
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,pp,meet,,,POINT,33.159,33.159,NA,,
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,pg,meet,,,POINT,35.163,35.163,NA,,
qi_cam47_exp3_a2_8wp,2023-09-08 11:27:23,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wp,No focal subject,intruder,,,POINT,37.911,37.911,NA,,
qi_cam47_exp3_a2_4wl,2023-09-08 11:26:09,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,4,wl,pb,meet,,,POINT,38.188,38.188,NA,,
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,pp,sting,,,STATE,38.403,59.405,21.002,,
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,go,meet,,,POINT,41.339,41.339,NA,,
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,go,sting,,,STATE,42.844,150.089,107.245,,
qi_cam47_exp3_a2_4wp,2023-09-08 11:26:32,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,4,wp,No focal subject,intruder,,,POINT,46.650,46.650,NA,,
qi_cam47_exp3_a2_8wl,2023-09-08 11:27:07,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,8,wl,gb,meet,,,POINT,48.613,48.613,NA,,
qi_cam47_exp3_a2_4wl,2023-09-08 11:26:09,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after2t202301071516_20230107_151513.mp4,1479.160,25.0,4,wl,bb,meet,,,POINT,51.180,51.180,NA,,
