Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,No focal subject,intruder,,,POINT,18.406,18.406,NA,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,go,meet,,,POINT,34.372,34.372,NA,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,go,sting,,,STATE,34.372,48.378,14.006,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,gb,meet,,,POINT,40.388,40.388,NA,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,bb,meet,,,POINT,42.381,42.381,NA,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,gb,sting,,,STATE,42.388,57.138,14.750,,
qi_cam61_exp3_a1_4wp,2023-07-19 10:46:52,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,4,wp,No focal subject,intruder,,,POINT,43.909,43.909,NA,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,bb,sting,,,STATE,45.129,166.135,121.006,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,bo,meet,,,POINT,48.414,48.414,NA,,
qi_cam61_exp3_a1_8wp,2023-07-19 10:48:40,,D:/desktop/qicam61exp3after1t202301071240_20230107_134112.mp4,1418.000,25.0,8,wp,bo,sting,,,STATE,49.165,51.420,2.255,,
