Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam29_exp3_a3_4wp,2023-08-24 16:40:14,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,wp,No focal subject,intruder,,,POINT,18.400,18.400,NA,,
qi_cam29_exp3_a3_8wp,2023-08-24 16:41:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,8,wp,No focal subject,intruder,,,POINT,24.902,24.902,NA,,
qi_cam29_exp3_a3_8wp,2023-08-24 16:41:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,8,wp,pp,meet,,,POINT,30.403,30.403,NA,,
qi_cam29_exp3_a3_4n,2023-08-24 16:38:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,n,No focal subject,intruder,,,POINT,31.905,31.905,NA,,
qi_cam29_exp3_a3_4wp,2023-08-24 16:40:14,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,wp,oo,meet,,,POINT,37.433,37.433,NA,,
qi_cam29_exp3_a3_4wp,2023-08-24 16:40:14,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,wp,go,meet,,,POINT,38.679,38.679,NA,,
qi_cam29_exp3_a3_8n,2023-08-24 16:40:59,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,8,n,No focal subject,intruder,,,POINT,40.909,40.909,NA,,
qi_cam29_exp3_a3_4n,2023-08-24 16:38:54,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,n,gb,meet,,,POINT,41.659,41.659,NA,,
qi_cam29_exp3_a3_8wp,2023-08-24 16:41:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,8,wp,gb,meet,,,POINT,44.761,44.761,NA,,
qi_cam29_exp3_a3_8wp,2023-08-24 16:41:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,8,wp,gb,sting,,,STATE,44.761,92.763,48.002,,
qi_cam29_exp3_a3_4wp,2023-08-24 16:40:14,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,wp,oo,sting,,,STATE,47.176,49.431,2.255,,
qi_cam29_exp3_a3_8n,2023-08-24 16:40:59,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,8,n,oo,meet,,,POINT,49.156,49.156,NA,,
qi_cam29_exp3_a3_4wl,2023-08-24 16:40:36,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after3t202301071647_20230107_164706.mp4,1545.680,25.0,4,wl,No focal subject,intruder,,,POINT,50.401,50.401,NA,,
