Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam47_exp3_a3_8wl,2023-09-08 11:29:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,8,wl,No focal subject,intruder,,,POINT,20.655,20.655,NA,,
qi_cam47_exp3_a3_4wl,2023-09-08 11:28:39,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wl,No focal subject,intruder,,,POINT,28.657,28.657,NA,,
qi_cam47_exp3_a3_4wl,2023-09-08 11:28:39,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wl,pb,meet,,,POINT,28.657,28.657,NA,,
qi_cam47_exp3_a3_4wl,2023-09-08 11:28:39,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wl,pp,meet,,,POINT,33.056,33.056,NA,,
qi_cam47_exp3_a3_4wl,2023-09-08 11:28:39,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wl,pg,meet,,,POINT,35.852,35.852,NA,,
qi_cam47_exp3_a3_8wp,2023-09-08 11:29:43,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,8,wp,No focal subject,intruder,,,POINT,37.656,37.656,NA,,
qi_cam47_exp3_a3_4wl,2023-09-08 11:28:39,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wl,pp,meet,,,POINT,38.311,38.311,NA,,
qi_cam47_exp3_a3_4wl,2023-09-08 11:28:39,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wl,pp,sting,,,STATE,41.311,44.569,3.258,,
qi_cam47_exp3_a3_8wl,2023-09-08 11:29:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,8,wl,bo,meet,,,POINT,42.902,42.902,NA,,
qi_cam47_exp3_a3_4wp,2023-09-08 11:28:53,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam47exp3after3t202301071646_20230107_164511.mp4,1500.280,25.0,4,wp,No focal subject,intruder,,,POINT,44.403,44.403,NA,,
