Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam29_exp3_a2_4wp,2023-08-22 16:17:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,4,wp,No focal subject,intruder,,,POINT,22.160,22.160,NA,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,No focal subject,intruder,,,POINT,36.402,36.402,NA,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,bb,meet,,,POINT,36.402,36.402,NA,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,bb,sting,,,STATE,36.402,45.126,8.724,,
qi_cam29_exp3_a2_4wp,2023-08-22 16:17:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,4,wp,go,meet,,,POINT,37.146,37.146,NA,,
qi_cam29_exp3_a2_4wp,2023-08-22 16:17:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,4,wp,go,sting,,,STATE,37.893,43.146,5.253,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,pg,meet,,,POINT,40.642,40.642,NA,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,oo,meet,,,POINT,41.118,41.118,NA,,
qi_cam29_exp3_a2_4wp,2023-08-22 16:17:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,4,wp,oo,meet,,,POINT,41.880,41.880,NA,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,oo,sting,,,STATE,42.117,70.869,28.752,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,pg,sting,,,STATE,42.638,100.894,58.256,,
qi_cam29_exp3_a2_4wp,2023-08-22 16:17:17,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,4,wp,oo,sting,,,STATE,43.378,44.133,0.755,,
qi_cam29_exp3_a2_4n,2023-08-22 16:15:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,4,n,No focal subject,intruder,,,POINT,44.654,44.654,NA,,
qi_cam29_exp3_a2_8wp,2023-08-22 16:18:13,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam29exp3after2t202301071517_20230107_151656.mp4,1494.000,25.0,8,wp,bo,meet,,,POINT,44.874,44.874,NA,,
